
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
59958	 1867	 62880	 57708	 59689	 59556
58217	 1643	 60938	 56653	 57796	 57483
59831	 1046	 61644	 59214	 59260	 59206
59290	 1400	 61624	 58031	 58800	 58707
59880	 2195	 63471	 59159	 59283	 57610
59611	 1747	 62419	 57688	 59208	 59131
60026	 2782	 64206	 60723	 58339	 56836
60637	 1975	 63752	 58311	 60416	 60070
60326	 2092	 63713	 58037	 59570	 59985
58691	 2223	 62473	 57977	 57271	 57045
72603	 10705	 89819	 60392	 70067	 70137
85603	 18720	 117386	 77754	 78310	 68962
Total runtime = 20.6514s
-rw-r--r--. 1 kduwe iks 53K Aug  5 18:07 /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 12
# N 	 M 	 nx 	 ny 	 steps 	 iterations
4 	 3 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
9780	 1741	 14060	 8214	 10482	 10506	 9978	 7095	 9934	 9671	 10279	 10278	 9667	 7206
7892	 1570	 11439	 6452	 8609	 8625	 7822	 5347	 7784	 7881	 8731	 8724	 7848	 5442
8003	 1694	 11947	 6487	 8954	 8994	 8066	 5321	 8023	 7815	 8579	 8578	 7872	 5404
7853	 1613	 11664	 6350	 8422	 8447	 7838	 5325	 7804	 7800	 8681	 8636	 7864	 5412
7803	 1615	 11529	 6346	 8588	 8611	 7710	 5247	 7681	 7711	 8584	 8588	 7736	 5306
9292	 2378	 13586	 6314	 10476	 10505	 9675	 5219	 9637	 9648	 10784	 10725	 9674	 5268
7597	 1494	 11072	 6245	 7876	 7887	 7695	 5201	 7627	 7629	 8481	 8478	 7690	 5288
7528	 1672	 11366	 6258	 8075	 8104	 8185	 5155	 7591	 7052	 8436	 8422	 7071	 4621
9104	 1536	 12882	 7721	 9187	 9204	 9653	 6723	 9591	 9180	 9565	 9550	 9200	 6802
9221	 1710	 13407	 7651	 9574	 9617	 9461	 6624	 9336	 9057	 10110	 10044	 9092	 6682
7634	 1770	 12437	 6252	 7987	 8010	 7658	 5162	 7634	 7595	 8027	 8030	 7620	 5198
7559	 1491	 11178	 6241	 7746	 7767	 7728	 5235	 7675	 7690	 8255	 8217	 7713	 5274
7604	 1653	 11852	 6282	 7707	 7729	 7667	 5163	 7625	 7605	 8407	 8397	 7608	 5206
7453	 1501	 11180	 6242	 7663	 7683	 7614	 5093	 7570	 7550	 8055	 8037	 7587	 5162
7494	 1579	 11522	 6247	 7618	 7638	 7838	 5089	 7717	 7508	 8062	 7994	 7559	 5139
7413	 1434	 10794	 6232	 7639	 7663	 7591	 5094	 7465	 7498	 8157	 8134	 7548	 5148
7477	 1375	 10640	 6239	 7834	 7869	 7703	 5200	 7634	 7636	 8022	 8001	 7693	 5256
7649	 1545	 11126	 6201	 7631	 7671	 8333	 5159	 8279	 7570	 8521	 8465	 7620	 5216
7675	 1866	 11736	 6649	 7703	 7900	 8615	 4297	 8529	 8002	 8123	 8075	 8049	 4422
7443	 1440	 10906	 6203	 7662	 7677	 7775	 5140	 7749	 7558	 7971	 7957	 7543	 5180
7481	 1381	 10685	 6307	 7641	 7656	 7719	 5224	 7666	 7690	 8129	 8103	 7709	 5253
7490	 1418	 10899	 6316	 7665	 7695	 7730	 5210	 7646	 7637	 8031	 8117	 7677	 5262
7436	 1396	 10710	 6147	 7631	 7656	 7785	 5173	 7714	 7613	 7918	 8006	 7657	 5230
7556	 1503	 11206	 6246	 8009	 8035	 7811	 5192	 7705	 7627	 7961	 7992	 7672	 5227
