# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp5-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
1204	528	1095	 788	 760	 1055	 1572	 750	 1115	 1637	 727	 2545	 762	 1643
1184	437	1091	 796	 757	 2061	 1257	 737	 1118	 1635	 879	 1202	 793	 1892
1077	314	1104	 811	 764	 1044	 1582	 736	 1156	 1662	 744	 1400	 797	 1124
1294	637	1090	 844	 757	 2075	 1261	 734	 1127	 1620	 748	 1692	 716	 2869
1174	441	1129	 861	 761	 2093	 1262	 739	 1124	 1629	 746	 1117	 772	 1857
Total runtime = 0.506652s

# File Size:
total 19G
drwxr-xr-x. 2 kduwe iks    8 Aug 17 19:34 .
drwxr-xr-x. 6 kduwe iks    4 Aug 17 19:34 ..
-rw-r--r--. 1 kduwe iks 4.8G Aug 17 19:34 data.0
-rw-r--r--. 1 kduwe iks 4.8G Aug 17 19:34 data.1
-rw-r--r--. 1 kduwe iks 4.8G Aug 17 19:34 data.2
-rw-r--r--. 1 kduwe iks 4.8G Aug 17 19:34 data.3
-rw-r--r--. 1 kduwe iks 399K Aug 17 19:34 md.0
-rw-r--r--. 1 kduwe iks  13K Aug 17 19:34 md.idx
-rw-r--r--. 1 kduwe iks  984 Aug 17 19:34 mmd.0
-rw-r--r--. 1 kduwe iks  63K Aug 17 19:34 profiling.json
# --- Read time in mikroseconds ---
# MPI_Comm_size: 12
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp5-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
4 	 3 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
