
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
77282	 5124	 83666	 73168	 80871	 71424
93972	 4631	 99995	 91357	 96531	 88008
60322	 5208	 67860	 58690	 61323	 53418
59963	 4616	 64909	 54894	 64207	 55843
60731	 4872	 67740	 58790	 62020	 54374
61217	 4636	 67157	 58675	 63885	 55154
61137	 5387	 66803	 54278	 65990	 57477
61496	 4721	 66693	 58053	 65552	 55687
58373	 1028	 59648	 57321	 59050	 57475
Total runtime = 19.9175s
total 51G
drwxr-xr-x. 2 kduwe iks    7 Aug  5 21:06 .
drwxr-xr-x. 6 kduwe iks    6 Aug  5 21:05 ..
-rw-r--r--. 1 kduwe iks  13G Aug  5 21:06 data.0
-rw-r--r--. 1 kduwe iks  13G Aug  5 21:06 data.1
-rw-r--r--. 1 kduwe iks  13G Aug  5 21:06 data.2
-rw-r--r--. 1 kduwe iks  13G Aug  5 21:06 data.3
-rw-r--r--. 1 kduwe iks  60K Aug  5 21:06 md.0
-rw-r--r--. 1 kduwe iks 6.4K Aug  5 21:06 md.idx
-rw-r--r--. 1 kduwe iks 1.4K Aug  5 21:06 profiling.json
