# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
4 	 3 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
15182	3196	10475	 16833	 16861	 18521	 11466	 18465	 16841	 10490	 16848	 17414	 10548	 17427
10230	2248	10978	 5808	 15259	 10639	 9205	 10544	 8303	 12727	 8622	 10745	 9324	 10614
9962	1800	12507	 8492	 8555	 12330	 7940	 7985	 10787	 10872	 10782	 12631	 8287	 8379
10381	937	12726	 8720	 8983	 10527	 10703	 10525	 10160	 10602	 10501	 10399	 10296	 10433
10262	991	12516	 8505	 8653	 9895	 10132	 10017	 10368	 10685	 10505	 10691	 10551	 10635
10354	1152	12979	 8297	 8358	 10157	 10413	 10254	 10492	 10845	 10679	 10710	 10510	 10564
10374	1106	12323	 8113	 8255	 10352	 10510	 10286	 10662	 10917	 10732	 10930	 10552	 10864
10200	1102	12044	 7963	 8166	 9907	 10162	 10006	 10345	 10729	 10558	 10998	 10891	 10640
10333	285	9861	 9953	 10077	 10194	 10402	 10248	 10459	 10711	 10507	 10732	 10605	 10251
10340	956	12222	 8449	 8574	 10561	 10552	 10158	 10417	 10658	 10403	 10791	 10706	 10594
10180	1102	12138	 7926	 8036	 10311	 10450	 10142	 10254	 10677	 10487	 10693	 10483	 10569
10084	1169	10670	 7459	 7542	 10537	 10620	 10440	 10311	 10684	 10549	 10849	 10548	 10806
