
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
7891	 1477	 11436	 6648	 8021	 8360	 8445	 5809	 8349	 6585	 8462	 8414	 8372	 5794
7656	 2016	 11522	 6986	 7709	 8816	 8861	 4245	 8760	 6541	 8917	 8881	 6420	 4220
7497	 1312	 10345	 6191	 7766	 7807	 7943	 5272	 7866	 7694	 8024	 8008	 7728	 5323
7700	 1557	 11809	 6381	 7774	 7911	 7898	 5432	 7861	 7907	 8016	 8002	 7920	 5493
7469	 1383	 10610	 6106	 7829	 7919	 7711	 5174	 7658	 7669	 8000	 7973	 7706	 5281
7525	 1461	 10935	 6102	 7681	 7768	 8122	 5200	 8080	 7618	 7997	 7960	 7632	 5206
7478	 1444	 10955	 6126	 7682	 7763	 7813	 5174	 7769	 7671	 7924	 7892	 7704	 5274
7605	 1513	 11030	 5997	 7929	 8007	 8090	 5139	 8083	 7638	 8231	 8199	 7665	 5258
7536	 1487	 11120	 6139	 7620	 7700	 7743	 5211	 7726	 7713	 8229	 8209	 7756	 5273
7663	 1430	 11080	 6449	 7654	 7849	 7911	 5330	 7840	 7924	 8285	 8224	 7973	 5437
7539	 1457	 10953	 6304	 7718	 7800	 7771	 5178	 7722	 7677	 8254	 8198	 7688	 5216
7446	 1468	 10872	 6004	 7695	 7782	 7818	 5114	 7768	 7526	 8084	 8034	 7539	 5118
7458	 1464	 10907	 6041	 7690	 7768	 7845	 5132	 7781	 7530	 8054	 8001	 7576	 5181
7696	 1615	 11332	 6099	 8795	 8900	 7801	 5143	 7747	 7600	 8055	 8001	 7655	 5224
7930	 1510	 11247	 6417	 8883	 8985	 8035	 5462	 7962	 7930	 8379	 8323	 7976	 5561
7671	 1645	 11633	 6073	 8372	 8441	 8033	 5130	 7961	 7569	 8058	 8025	 7576	 5181
8421	 1497	 12531	 8237	 7768	 7815	 9747	 7244	 9755	 7303	 8054	 8010	 7303	 7296
7679	 1681	 11676	 6020	 7760	 7839	 8672	 5121	 8645	 7561	 8078	 8046	 7566	 5169
7501	 1703	 11270	 6656	 7791	 8253	 8316	 5744	 8284	 6451	 8362	 8324	 6382	 4190
7856	 1605	 11849	 6882	 8062	 8521	 8530	 5915	 8490	 6468	 8624	 8610	 6380	 5942
7806	 2025	 12103	 7184	 7786	 8760	 8841	 4323	 8799	 6795	 8938	 8850	 6764	 4537
7443	 1439	 10872	 6111	 7775	 7774	 7671	 5176	 7599	 7585	 8008	 7972	 7615	 5160
7474	 1460	 11032	 6141	 7734	 7770	 7701	 5139	 7588	 7695	 7964	 7900	 7747	 5287
7445	 1407	 10735	 6142	 7685	 7716	 7727	 5143	 7615	 7670	 8036	 7943	 7700	 5237
7457	 1432	 10859	 6126	 7737	 7728	 7753	 5170	 7657	 7609	 8009	 7976	 7659	 5206
7455	 1471	 11096	 6143	 7531	 7601	 7712	 5195	 7595	 7607	 8017	 8020	 7716	 5236
7575	 1487	 11125	 6176	 8063	 8099	 7764	 5225	 7685	 7665	 8042	 8022	 7774	 5269
7786	 2125	 13745	 6132	 7424	 7594	 7866	 5103	 7781	 7550	 8740	 8677	 7624	 5205
7664	 1824	 12475	 6070	 7678	 7729	 7951	 5045	 7930	 7508	 8416	 8375	 7600	 5193
7438	 1406	 10581	 6059	 7668	 7664	 8080	 5104	 7995	 7524	 7946	 7904	 7561	 5173
7493	 1442	 10672	 6037	 7929	 7947	 8118	 5097	 8032	 7512	 7926	 7891	 7598	 5167
8715	 2396	 13204	 6062	 10780	 10809	 10441	 5157	 10343	 9056	 7955	 7923	 7640	 5212
7729	 1610	 11341	 6157	 9068	 9103	 7828	 5410	 7524	 7606	 7917	 7879	 7700	 5223
7421	 1391	 10497	 6136	 7778	 7785	 7649	 5073	 7519	 7378	 8286	 8273	 7436	 5248
7339	 1296	 10192	 6115	 7759	 7758	 7579	 5152	 7494	 7372	 7986	 7971	 7466	 5226
7860	 2395	 15147	 6278	 7802	 7834	 7860	 5277	 7703	 7601	 7910	 7896	 7684	 5334
8047	 2680	 15826	 6775	 7632	 8184	 8616	 5777	 8490	 8240	 8276	 8255	 6349	 4145
7467	 1269	 10227	 6307	 7777	 7819	 7761	 5299	 7732	 7795	 7895	 7873	 7801	 5328
7639	 1412	 10673	 6210	 8172	 8186	 7995	 5239	 7911	 8000	 7996	 7976	 8031	 5284
7479	 1364	 10593	 6171	 7686	 7701	 7771	 5227	 7625	 7700	 8143	 8064	 7757	 5314
7395	 1279	 10182	 6189	 7667	 7678	 7737	 5184	 7659	 7707	 7911	 7857	 7700	 5270
7421	 1356	 10572	 6157	 7685	 7692	 7828	 5167	 7656	 7648	 7890	 7803	 7674	 5283
7356	 1363	 10538	 6167	 7690	 7700	 7743	 5076	 7649	 7403	 7867	 7779	 7435	 5236
7393	 1387	 10585	 6125	 7722	 7731	 7755	 5037	 7670	 7658	 7839	 7774	 7620	 5204
7607	 1446	 10877	 6264	 7730	 7762	 7907	 5174	 7822	 7752	 8443	 8391	 7811	 5356
9749	 1753	 13825	 8128	 10033	 10049	 9623	 7080	 9580	 9503	 11182	 11087	 9652	 7255
7323	 1430	 10683	 6003	 7438	 7449	 7579	 4990	 7539	 7506	 8056	 7984	 7528	 5126
7518	 1597	 11277	 6061	 8430	 8465	 7601	 4960	 7496	 7472	 7927	 7889	 7505	 5142
7655	 1772	 11807	 6112	 9099	 9124	 7523	 4992	 7496	 7372	 7932	 7898	 7359	 5156
7447	 1509	 10917	 6043	 8219	 8210	 7591	 4922	 7490	 7505	 7931	 7889	 7506	 5141
7459	 1429	 10662	 6127	 7868	 7853	 7947	 4984	 7821	 7587	 7959	 7913	 7587	 5206
7495	 1498	 10800	 6056	 8193	 8216	 7587	 4988	 7507	 7470	 8263	 8185	 7526	 5156
8865	 1496	 12364	 7549	 9076	 9079	 9592	 6393	 9469	 8961	 9243	 9181	 8953	 6523
